sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
207,UHEWA,400.00,11.00,2.83,381.30,401.00,373.00,"31,551.00",389.00,https://www.sharesansar.com/company/uhewa
208,UIC,372.60,-8.40,-2.20,388.00,388.00,365.30,"4,333.00",381.00,https://www.sharesansar.com/company/uic
209,ULBSL,"3,600.00",0.00,0.00,"3,528.10","3,600.00","3,528.10",230.00,"3,600.00",https://www.sharesansar.com/company/ulbsl
210,UMHL,270.00,0.10,0.04,275.00,275.00,266.00,"13,323.00",269.90,https://www.sharesansar.com/company/umhl
211,UMRH,558.50,-6.50,-1.15,560.00,569.00,557.00,"4,330.00",565.00,https://www.sharesansar.com/company/umrh
212,UNHPL,212.70,-2.10,-0.98,215.50,216.70,210.00,"18,711.00",214.80,https://www.sharesansar.com/company/unhpl
213,UNL,"18,000.00",-485.00,-2.62,"18,550.00","18,550.00","18,000.00",865.00,"18,485.00",https://www.sharesansar.com/company/unl
214,UPCL,229.00,-4.00,-1.72,236.00,236.90,229.00,"29,374.00",233.00,https://www.sharesansar.com/company/upcl
215,UPPER,428.00,0.00,0.00,436.00,436.00,428.00,"14,010.00",428.00,https://www.sharesansar.com/company/upper
216,USHEC,349.00,-4.00,-1.13,347.00,350.00,341.10,"2,950.00",353.00,https://www.sharesansar.com/company/ushec
217,USLB,937.00,5.80,0.62,912.60,986.70,912.60,370.00,931.20,https://www.sharesansar.com/company/uslb
218,VLBS,945.00,14.00,1.50,931.00,945.00,912.40,919.00,931.00,https://www.sharesansar.com/company/vlbs
219,WNLB,985.00,16.60,1.71,983.10,987.00,979.00,40.00,968.40,https://www.sharesansar.com/company/wnlb
